Title,Chapter,Verse,English Translation
Raja-Vidya-Raja-Guhya Yoga,Chapter 9,Verse 9.30,"O Arjuna, you must realize that even if the most evil of men become My devotee and worship Me with a steady and even mind, fully focusing his thoughts and concentrating on Me, he should be considered a saint and a wise man because he is a man of steady wisdom and intelligence since he possesses a decisive mind."
Raja-Vidya-Raja-Guhya Yoga,Chapter 9,Verse 9.31,"This evil man will then soon become a very pure and pious man in time. He will then attain eternal peace and happiness, Realize this truth O Arjuna, that he who is My true devotees, shall never suffer destruction."
Raja-Vidya-Raja-Guhya Yoga,Chapter 9,Verse 9.32,"Dear Arjuna, by taking refuge in Me, (the true path to bliss and joy), a sinful person, a women, a businessman, and even an untouchable person, will attain, the Supreme state just as the virtuous Brahman, and the devoted great royal sages and wise men."
Raja-Vidya-Raja-Guhya Yoga,Chapter 9,Verse 9.33,"O Arjuna, this world is one that is quickly passing, very brief and full of sufferings. Having been born here in such a world, the only way that one can attain true happiness and peace is to worship Me."
Raja-Vidya-Raja-Guhya Yoga,Chapter 9,Verse 9.34,"Arjuna, fix your mind only on Me; be my true, dedicated and sincere devotee; offer all sacrifices to Me; bow to Me. Having these things with Me always in mind, you will come to Me inevitably."
Vibhuti Yoga,Chapter 10,Verse 10.1,"Arjuna, my dear devotee, hear and understand these wise words (full of the highest and most divine knowledge) which I shall disclose to you, for your own good."
Vibhuti Yoga,Chapter 10,Verse 10.2,"Even the Deities and the greatest of wiseman do not know the secret of my birth in this world (in human form). You should understand,my dear friend, that it is from ME that all of these Deities and wisemen originate."
Vibhuti Yoga,Chapter 10,Verse 10.3,"The Blessed Lord declared: He who fully understands ME (in all respects) as being without a beginning or an end,and Lord of the universe,is truly the wisest person among all men and is released from all his sins."
Vibhuti Yoga,Chapter 10,Verse 10.4,"The intellect, the GYAN (Supreme Knowledge), understanding, forbearance, truth, control over the mind and senses, joys, sorrows, birth, death, fear, fearlessness, non-violence, even-mindedness, contentment, austerity, charity, fame, infamy, all of these and other diverse elements that surround life in this world, arise and begin from ME, the Supreme Soul."
Vibhuti Yoga,Chapter 10,Verse 10.5,"The intellect, the GYAN (Supreme Knowledge), understanding, forbearance, truth, control over the mind and senses, joys, sorrows, birth, death, fear, fearlessness, non-violence, even-mindedness, contentment, austerity, charity, fame, infamy, all of these and other diverse elements that surround life in this world, arise and begin from ME, the Supreme Soul."
Vibhuti Yoga,Chapter 10,Verse 10.6,"The seven great sages (wisemen), their four elders (such as SANAK and the others) and the fourteen MANUS (the forefathers and originators of man-kind, namely SWAYAMBHU MANU and the generation that followed him), who were all my great devotees and were born out of MY will, all the beings that have evolved in the world are descendents of these devotees of mine."
Vibhuti Yoga,Chapter 10,Verse 10.7,"He who fully understands my Supreme Glories and the divine powers of Yoga, will undoubtedly achieve the most Supreme goal of a lifetime, and that is, to become united and enjoined with ME. To achieve this Supreme state one must take part in firm and constant meditation, having only Myself fixed in his mind at all times."
Vibhuti Yoga,Chapter 10,Verse 10.8,"Arjuna, recognize Me as the eternal source and MAKER of all that exists in this world. It is because of ME that anything can move in this world. Those who truly know and understand this, are wise people and shall always worship ME with full faith and devotion."
Vibhuti Yoga,Chapter 10,Verse 10.9,"Those faithful devotees, of MINE whose mind are constantly fixed on ME, enlightening each other spiritually about ME and are always talking about my divine attributes and virtues, are forever contented and delighted."
Vibhuti Yoga,Chapter 10,Verse 10.10,"My true devotees are constantly attached to ME and worship ME with love. I bestow upon these devotees of mine, the Yoga of wisdom by which they are guided to ME, the source of Supreme bliss and eternal contentment."
Vibhuti Yoga,Chapter 10,Verse 10.11,"While dwelling in the hearts of my devotees, I shed MY divine grace upon them and through the light that emanates from the lamp of knowledge (GYAN), I rid them of their darkness that has evolved from their ignorance."
Vibhuti Yoga,Chapter 10,Verse 10.12,"Arjuna said:Dear Lord, You are the highest, the absolute the Supreme, Eternal and everlasting, the greatest purifier, the ultimate resort, Surpasser of all boundaries known to man, the origin of all Deities, the omni-present Spirit, and filled with spiritual Divinity. The greatest seers and divine sages, NARADA, ASIT, DEVAL, VYAS as well as You yourself have said all of these characteristics of You, my Lord."
Vibhuti Yoga,Chapter 10,Verse 10.13,"Arjuna said: Dear Lord, You are the highest, the absolute the Supreme, Eternal and everlasting, the greatest purifier, the ultimate resort, Surpasser of all boundaries known to man, the origin of all Deities, the omni-present Spirit, and filled with spiritual Divinity.The greatest seers and divine sages, NARADA, ASIT, DEVAL, VYAS as well as You yourself have said all of these characteristics of You, my Lord."
Vibhuti Yoga,Chapter 10,Verse 10.14,"Lord Krishna, I accept all of the Knowledge that You have bestowed upon ME as true. I have also understood, dear Lord, that your very manifestation and origin is not understood by Deities let alone demons."
Vibhuti Yoga,Chapter 10,Verse 10.15,"Arjuna continued: O Krishna, Originator of all, Lord of all beings, Lord of all Deities, Master and Creator of the World, the FIRST among all men, you alone in this universe, truly know Yourself."
Vibhuti Yoga,Chapter 10,Verse 10.16,"You should indeed, without reserve, tell me of Your Divine glories by which You exist pervading all these worlds."
Vibhuti Yoga,Chapter 10,Verse 10.17,"Lord Krishna, please, fully describe to me, how I shall truly know you by constantly meditating upon you. In how many different forms can I meditate upon you to completely understand you ?"
Vibhuti Yoga,Chapter 10,Verse 10.18,"Arjuna demanded further: Lord Krishna, once again, describe fully to me, your divine glories and supreme splendour. My thirst for hearing your sweet and divine words again and again, is not yet quenched."
Vibhuti Yoga,Chapter 10,Verse 10.19,The Blessed Lord said: You are blessed O Best of the KURUS; hence I will declare to you my Divine Glory by its chief characteristics; there is no end to details of Me.
Vibhuti Yoga,Chapter 10,Verse 10.20,"O Gudakesha (the conqueror of slumber) am the soul, seated in the heart of all beings. I am the beginning the middle and also the end of all lives."
Vibhuti Yoga,Chapter 10,Verse 10.21,"Among the sons of light I am Vishnu; of radiances, the Glorious Sun. I am the lord of the winds and storms, and of the lights in the night I am the moon."
Vibhuti Yoga,Chapter 10,Verse 10.22,"Of the Vedas I am the Veda of songs, I am Indra, the Chief of Gods I am the mind amongst the senses, and in all living beings I am the light of consciousness."
Vibhuti Yoga,Chapter 10,Verse 10.23,And among the RUDRAS I am Shankara; among the YAKSHAS and RAKSHASAS I am the Lord of wealth (KUBERA) ; among the VASUS I am PAVAKA (AGNI) ; and among the mountains I am the MERU.
Vibhuti Yoga,Chapter 10,Verse 10.24,"I am the divine priest, Brihaspati among the priest, and among warriers Skanda, the God of war. Of lakes I am the vast ocean."
Vibhuti Yoga,Chapter 10,Verse 10.25,"I am Bhrigu among great seers and of words I am OM, the word of eternity. Of prayers I am the prayer of silence; and of things that move not I am the Himalayas."
Vibhuti Yoga,Chapter 10,Verse 10.26,"Of trees I am the tree of life, and of heavenly seers, Narada. Among celestial musicians I am Chitra-Ratha, and among seers of earth, Kapila."
Vibhuti Yoga,Chapter 10,Verse 10.27,"I am the horse of Indra among horses; and of elephants, Indra?s elephant Airavat. Among men I am King of men."
Vibhuti Yoga,Chapter 10,Verse 10.28,"Of weapons I am the thunderbolt, and of cows the cow of wonder. Among creators I am the creator of love, and among serpents the serpent of Eternity."
Vibhuti Yoga,Chapter 10,Verse 10.29,"Among the snakes of mystery I am Ananta, and of those born in waters I am Varuna, their Lord. Of the spirits of the fathers am Aryaman, and I am Yama, the ruler of death."
Vibhuti Yoga,Chapter 10,Verse 10.30,"Of demons I am Prahlada their prince, and of all things I am the measure of time. Of beasts I am the king of beasts, and beasts and birds I am Vainateya who carries a god."
Vibhuti Yoga,Chapter 10,Verse 10.31,"I am the wind among things of purification, and among warriors I am Rama, the hero supreme. Of fishes in the sea I am Makara, the wonderful and among all rivers the holy Ganges."
Vibhuti Yoga,Chapter 10,Verse 10.32,I am the beginning and the middle and the end of all that is. Of all knowledge I am the knowledge of the Soul. Of the many paths of reason I am the one that leads to Truth.
Vibhuti Yoga,Chapter 10,Verse 10.33,"Of sounds I am the first sound ?A?. Of compounds I am coordination. I am time, never ending time. I am the Creator who sees all."
Vibhuti Yoga,Chapter 10,Verse 10.34,"I am death that carries off all things, and I am the source of things to come. Of feminine nouns I am Fame and Prosperity; speech, Memory and Intelligence, Constancy and Forgiveness."
Vibhuti Yoga,Chapter 10,Verse 10.35,"I am the Brihat song of all songs in the Vedas. I am the Gayatri of all measures in Verse. Of months I am the first of the year, and of all the seasons the season of blossoms."
Vibhuti Yoga,Chapter 10,Verse 10.36,I am the cleverness in the gambler?s dice. I am the beauty of all things beautiful. I am victory and the struggle for victory. I am the goodness of those who are good.
Vibhuti Yoga,Chapter 10,Verse 10.37,"Of all the children of Vrishni I am Krishna; and of the sons of Pandu I am Arjuna, Among seers in silence I am Vyasa; and among poets the poet Usana."
Vibhuti Yoga,Chapter 10,Verse 10.38,"I am the sceptre of rulers of men; and I am the wise policy of those who seeks victory. I am the silence of hidden mysteries, and I am the knowledge of those who know."
Vibhuti Yoga,Chapter 10,Verse 10.39,"Arjuna, know that I am the seed of all things that are, and that no being that moves or moves not can ever be without Me."
Vibhuti Yoga,Chapter 10,Verse 10.40,"There is no end of my divine qualities, Arjuna. What I have spoken here to thee shows only a small part of my infinity."
Vibhuti Yoga,Chapter 10,Verse 10.41,"Whatever is beautiful and good, whatever has glory and power is only a portion of My own radiance."
Vibhuti Yoga,Chapter 10,Verse 10.42,But of what help is it to you to know this diversity? Know that with one single fraction of My Being I pervade and support the Universe and know that I am.
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.1,"Arjuna thankfully replied:O Lord it is because of Your mercy alone that the mystery of the self which has confused me until now, has become clear in the mind."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.2,"The origin and destruction of beings verily, have been heard by me in detail from You, O Lotus-eyed Krishna, and also Your inexhaustible greatness."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.3,"(Now) O Supreme Lord! As you have thus described Yourself, I wish to see (actually) Your Form Divine, O PURUSHOTTAMA."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.4,"O Great Lord of Yoga, if you think of me as being worthy and able to see your Supreme form, then display Your true, eternal self to me dear Lord."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.5,"The Blessed lord said: Behold O Dear Arjuna, as I reveal to you hundreds and even thousands of My various, divine forms of several colours and shapes."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.6,"Watch My Dear Devotee, as I disclose to you my various forms. The gods of sun, fire and light; the gods of storm, and lightning and the two beautiful charioteers of Heaven. Behold O Relative of Bharata, vision and sights never before seen by the naked human eyes!"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.7,"Arjuna, see before you now, the whole universe as it both moving and at rest, see whatever you desire. See it all in me because I am in everything and everything is in Me."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.8,"However, Dear Arjuna, understand that one can only see My divine form through divine eye-sight. You can never see Me through your mortal eyes. Therefore I will give you divine eye-sight to behold my divine Power and glory."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.9,"Sanjaya (narrator of the Geeta), further explained to his King:Thus, when the great Lord Hari, God of Yoga had spoken, He revealed to Partha (Arjuna) His Divine Form."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.10,"Sanjaya Continued: Arjuna had now begun to see the most extra-ordinary and miraculous visions and marvels; several faces; several divine ornaments and a countless amount of heavenly weapons. Sanjaya described Arjuna saw before him, a wide range of heavenly garlands, and garments, with divine perfumes and scents. This heavenly and infinite image, made up of all fantastic wonders,was facing all directions and all the endless marvels seemed to be contained in him.
"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.11,"1. Wearing divine garlands (necklaces) and apparel, anointed with divine unguents, the All-wonderful, Resplendent, Endless, facing all sides."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.12,The divine radiance and beautiful light that was being emmitted by the glorious vision was so great that it could only be matched by the light of one thousand suns arising in the sky at once.
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.13,"Here, the Pandava (Arjuna) saw the whole universe in its several dimensions and varieties all gathered together in the Supreme Lord of Lords."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.14,"Then, Dhananjaya, filled with wonder, with his hair standing on end, bowed down his head to the God and spoke with joined palms."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.15,"O Lord, I have seen within Thy heavenly body, all of the gods and the infinite variety of being that have been created by You. I see before Me the great Lord Brahma who is seated on the lotus throne, all the seers of light (sages), and the Divine Serpents as well."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.16,"   Arjuna explained to the Lord:                                                                                                                         O Krishna, I behold your image as being never-ending, with countless arms, faces, bellies, eyes, and mouth. I sense the divinity and power coming from all parts of Your Superior Being. O Lord of Lords, I am unable to see Thy beginning, middle or end for You are of infinite form!"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.17,"I can clearly see the crown, sceptre and discus glowing upon Your lotus body like a mass of intense light. Your dazzling image is difficult for me to behold and believe, yet I still see You in Your full brilliance as the eternal, flaming fire, the blinding sun and truly as one of a kind."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.18,"You are immortal, imperishable and never ending. You are the height of knowledge and the Supreme to be realized by all. You are the support of this large universe. I think you to be the guardian and ruler of the eternal law of purity and virtue. You are the ever-lasting Spirit who is, and always has been, at the very beginning of all things in the universe."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.19,"O Great Lord, I see Thee as having no beginning, middle or end; being of endless and infinite power and glory which is all contained in Your unlimited number of divine arms. Thy face resembles an eternal fire that gives light and life to all things in this enormous universe. In Thine eyes I see the sun and the moon, dear Lord."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.20,"This space between earth and the heavens and all the quarters is filled by You alone; having seen this, Your wonderful and terrible form, the three worlds are trembling with fear, O great-souled Being"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.21,"The many hosts of gods join and come into You my Lord. Out of respect, fear and love for You, they praise and adore You. The great sages and seers all sing praises of Thy glory as well, Almighty Lord."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.22,"The Rudras of destruction, the Adityas, the Vasus, the Sadhyas, and the Visvedevas; the two Asvins (Charioteers) of heaven; the Maruts (Lord of winds and storms); the Spirits of Ancestors; the divine singing choirs of the Gandharvas; the Yakshas (keepers of wealth); the demons of hell; and the Siddhas (those who gained the prestigious goal of perfection on earth), all of these Supreme souls and saints gaze upon Thee with wonder and respect."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.23,"However Dear Lord, the worlds cannot help but tremble at the fearful sight of Your mighty and terrifying forms. The forms consisting of many eyes, mouth, bellies, feet and terrible fangs that are too frightening for the average mortal to gaze upon. However this is but one single aspect of your omniscience (being everything and every-where) in the universe."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.24,"O Lord, when I see Your vast and enormous form which reaches the sky, surrounded by a burning and magnificient glow of several beautiful colours, with mouth opened wide and large, my heart and inmost soul tremble in amazement and terror. My power and peace of mind have also vanished, Dear Vishnu."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.25,"O Lord, seeing Your enormous facial features and frightening teeth like the fire that burns till the end of time and all existence, I find myself truly losing all sense of direction and peace with myself! O Lord have mercy on me! Give me shelter, O Giver of refuge and Supreme Being of this vast universe."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.26,"Arjuna began to explain: All the sons of Dhratarashtra together with the other hosts of kings and princes along with Bhisma, Drona, and Karna and other great warriors on our side?.Arjuna Continued:?are all being forced to enter the various mouths of your most enormous and terrifying forms, inspiring terror in everyone with those fearful fangs."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.27,"Arjuna began to explain: All the sons of Dhratarashtra together with the other hosts of kings and princes along with Bhisma, Drona, and Karna and other great warriors on our side?.Arjuna Continued:?are all being forced to enter the various mouths of your most enormous and terrifying forms, inspiring terror in everyone with those fearful fangs."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.28,Your flaming mouths are consuming all of these heroes of our modern world like roaring torrents of rivers rushing forward into the ocean.
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.29,"All of these men are rushing swiftly into the blazing fire coming from Your several mouths, towards their death and destruction just as moths swiftly rush into a burning flame and die."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.30,"The large fires that can be seen from within the mouths of Your divine forms, devour all the worlds of the universe. Your glorious, fiery rays fill the whole universe. However, Dear Vishnu, this very same universe is the victim of Your terrible radiant and scorching rays of light!"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.31,"Dear Lord Supreme, I do not understand Your mysterious ways. Reveal Yourself to me! Who are You in this terrible form? Be gracious to me Dear Lord, and explain to me the secret of Your reality, for I am confused."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.32,"The Blessed Lord spoke:Dear Arjuna, understand that I am the all-powerful entity known as Time, which destroys all beings in this universe. Even without the help of your actions, all of these warriors standing before Me in the opposing armies shall cease to live!"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.33,"Therefore, arise O son of Kunti (Arjuna), win thy glory, conquer your enemies, enjoy a prosperous kingdom! Through the result of their own Karma, I have doomed these people to die and you, My Dear disciple, are simply a means of Mine by which this task shall be accomplished."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.34,"Do not fear O Arjuna! Fight and slay all these great warriors such as Drona, Bhisma, Karna and Jayad-Ratha, who are already doomed for death! Be bold O Arjuna! perform your duty; conquer your enemies in battle and leave the rest up to Me the Supreme Lord."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.35,"Sanjaya narrated to his King:When Arjuna had heard the words of Krishna, he folded his hands and bowed his trembling body down before the Great Lord in adoration and in a faultering voice he spoken:"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.36,"Dear Krishna, it is a true fact that countless people sing thy praise and take delight in glorifying You. The Rakshasas (evil-doers) flee in terror in all directions from Your Divine Might! All the great Saint and Seers bow down in love and adoration before You."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.37,"To think that any wiseman would do anything else but bow down before Your infinite greatness. is unwise, O Blessed Lord, Lord of Lords, Spirit Supreme! You are the Lord of Brahma (the Lord of Creation). You, my Dear Lord, are the never-ending, eternal refuge of the world. You are all that exists, that is non-existent, and that is even beyond existence."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.38,You are the first and foremost of Gods; You are the beginning of all existence and are the support of this vast universe. You know all and You are all that is to be known. You are the sole Supreme Goal to be realized by all. You are the Eternal and Omnipresent. From You alone all things have evolved O Krishna!
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.39,You are the wind (Vayu); Yama (the destroyer); You are the Sea-God (Varuna); the moon (Lord Sasanka); the Grand King of all (Prajapati). Hail to Thee O Lord! A thousand adorations to thee! Again and again to thee everyone hails!
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.40,"May good prayers, adorations, and salutations come to Your greatness from all directions O Mighty Lord Krishna! O Lord of all aspects of this universe, limitless in power and infinite might. You, the most Superior of all, have the ominous power to penetrate all beings in this universe. You are All, Dear Lord."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.41,"O Madhava (Krishna). my dear comrade and Lord, for whatever I have unthinkingly said to You, ignorant of the fact  that You are very much more a Greater Being than simply MY companion in battle; for my utter ignorance or maybe out of fondness?
?for whatsoever I have incorrectly presumed about You; for my irreverence and disrespect when alone with You or amongst companions; for making fun or teasing You at play or at rest: for all these things, dear Lord, please find it in Your divine heart to forgive Me for this ignorance."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.42,"In whatever way I may have insulted You for the sake of fun, while at play, reposing or sitting, or at meals, when alone (with You), O Achyuta, or in company ? that, O Immeasurable One, I implore You to forgive."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.43,Arjuna continued to praise Krishna: You are the divine father of All. The Supreme Master. You are all that is moving and unmoving. You are the single object of worship in all the universe and the Supreme Teacher. Who is like You? Whose power exceeds and goes beyond Your infinite Might?
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.44,"I kneel before Your greatness O Lord, simply in love and adoration for You! I beg for beg your good grace and mercy on me, O Vishnu. I plead with Thee Shri Krishna, as a friend to his friend or as a lover would to his beloved!"
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.45,"Arjuna expressed gratefully:
The vision that I have seen because of your divine Grace, no mortal man has seen before, At the same time, I rejoice with extreme joy and my heart trembles with fear of You, O Lord! Have mercy on Me, O Lord of all the Lords, Be gracious O Refuge of this universe! Please show me your human form once more."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.46,"I desire to see You as before, crowned, bearing a mace, with a discus in hand, in Your Former Form only, having four arms, O Thousand-armed, O Universal Form."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.47,"The Lotus-colured Lord Krishna said: Through My divine Power and Grace, Dearest Arjuna, I have shown you the form Supreme made of a divine glow, which is the infinite, endless and true form of mine from beginning of all existence. I have revealed to you O devotee of Mine, the luminous vision of Me which no mortal has observed before."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.48,"The Blessed Lord spoke solemnly: O Arjuna, you the greatest of Kurus alone has seen My true and Supreme form. Consider yourself fortunate for neither through the Vedas, nor through sacrifices, nor studies, nor through ceremonial rites, rituals or fearful actions of worship can a mere mortal man hope to see My Supreme form."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.49,"Be not afraid, nor bewildered on seeing such a terrible-Form of Mine as this; with your fear dispelled and with gladdened heart, now behold again this Form of Mine."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.50,"Sanjaya further recounted:Having said this to Arjuna, the great Lord Vasudeva (Krishna) revealed to Arjuna, His human form once more. Thus the Lord of all beings gave peace to Arjuna?s fear and comforted a terrified Arjuna."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.51,"Arjuna responded in relief:Now that I see your gentle human form Dear Krishna, I have returned back to my normal self with a peaceful mind and heart."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.52,"The Blessed lord said:Dear Arjuna, the Divine form of Myself which you have seen with so much difficulty is an experience which even the other gods and godesses in heaven long to see."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.53,"Not even with such religious acts as ritual offerings, gifts to the unfortunate and poor, and by leading a life only of worship and devotion to Me, can one be so fortunate as to witness what you have."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.54,"It is only by true love and selfless devotion that one can truly come to know Me, see Me in My true form, and be an eternal part of Me."
Viswarupa-Darsana Yoga,Chapter 11,Verse 11.55,He who truly loves Me; devotes his whole life to performing actions to please only Myself; who recognizes that I am the Supreme and final goal of life; who is free from all attachment and has love for all that I have created; that man comes to truly know who I am.
Bhakti Yoga,Chapter 12,Verse 12.1,Arjuna asked: Those devotees who worship you as the one without attributes (formless) and those who worship you as the one with attributes (with form); which of these are better versed in Yoga?
Bhakti Yoga,Chapter 12,Verse 12.2,"The Blessed Lord said: Those who have fixed their minds on Me and worship me with total dedication and faith, them I consider perfect in Yoga."
Bhakti Yoga,Chapter 12,Verse 12.3,"But those who worship the formless, the Indefinable, the Imperishable, the Unmanifest, the Omnipresent, the Unthinkable, the Unchangeable, the Immovable, the External- Having controlled all of the senses, always evenminded, thinking of the welfare of all beings, they also come to Me."
Bhakti Yoga,Chapter 12,Verse 12.4,"But those who worship the formless, the Indefinable, the Imperishable, the Unmanifest, the Omnipresent, the Unthinkable, the Unchangeable, the Immovable, the External- Having controlled all of the senses, always evenminded, thinking of the welfare of all beings, they also come to Me."
Bhakti Yoga,Chapter 12,Verse 12.5,"However, the worship of God without form is very difficult for the embodied because it is very hard to set the mind on the unmanifest, i.e. the one not capable of being recognized with the aid of the senses."
Bhakti Yoga,Chapter 12,Verse 12.6,"But those who worship Me, dedicating all actions to Me, regarding Me as the Supreme Goal, meditating on Me with single-mindness."
Bhakti Yoga,Chapter 12,Verse 12.7,"These worshippers? thoughts are set on Me; hence O Arjuna, I become their saviour from the wheel of birth and death."
Bhakti Yoga,Chapter 12,Verse 12.8,"Therefore, fix your mind on Me alone, let your thoughts reside in Me. You will hereafter live in Me alone. Do not have any doubt about it."
Bhakti Yoga,Chapter 12,Verse 12.9,"If you are not able to set your mind on Me, O Arjuna, then wish to reach Me by the Yoga of constant practice."
Bhakti Yoga,Chapter 12,Verse 12.10,"If you are unable to perform the Yoga of constant practice, then be intent on doing your actions for My sake; thus, performing actions for My sake, you will attain perfection."
Bhakti Yoga,Chapter 12,Verse 12.11,"If you cannot do actions for My sake, then taking refuge in Me, renounce (abandon) all the fruits of action by controlling yourself."
Bhakti Yoga,Chapter 12,Verse 12.12,"To gain spiritual knowledge is better than to practise Yoga; Meditation is better than Knowledge, abandoning the fruit of action is better than meditation because peace immediately follows the abandoning of the fruits of action."
Bhakti Yoga,Chapter 12,Verse 12.13,"The Lord describes the divine qualities of a devotee: He who hates no one, who is friendly and compassionate to all, who is free of egoism, balanced in pain and pleasure and forgiving. He who is ever content, ever steady in meditation, self-controlled and firmly committed with mind and intellect fixed on Me, that devotee is dear to Me."
Bhakti Yoga,Chapter 12,Verse 12.14,"The Lord describes the divine qualities of a devotee: He who hates no one, who is friendly and compassionate to all, who is free of egoism, balanced in pain and pleasure and forgiving. He who is ever content, ever steady in meditation, self-controlled and firmly committed with mind and intellect fixed on Me, that devotee is dear to Me."
Bhakti Yoga,Chapter 12,Verse 12.15,"He who does not harm anyone in the world and from whom the world is not agitated, and he who knows no joy, envy, fear and anxiety, that devotee is dear to me."
Bhakti Yoga,Chapter 12,Verse 12.16,"He who is free from desires, who is pure, expert, unconcerned, free from pain, selfless in all of his actions, he who is thus devoted to Me, is dear to Me."
Bhakti Yoga,Chapter 12,Verse 12.17,"He who neither rejoices (obtaining the desirable objects), nor hates (the undesirable objects), nor grieves (losing his beloved objects), nor desires (his beloved objects), free from the notions of good and evil, full of devotion, he is dear to Me."
Bhakti Yoga,Chapter 12,Verse 12.18,"He who is the same to enemy and friend and also in honour and dishonour, in cold and heat, in pleasure and pain, and who is free from attachment-"
Bhakti Yoga,Chapter 12,Verse 12.19,"He who is neutral in censure and praise, He who is silent, content with anything (in the world), does not claim any residence as his home, he who is steady-minded, full of devotion; that man is dear to Me."
Bhakti Yoga,Chapter 12,Verse 12.20,"They who follow this immortal law as described above, endowed with faith, looking upon Me as their supreme goal and being devoted, are extermely dear to Me."
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.1,"The Blessed Lord said:This body, O Arjuna, is called Kshetra (the field); he who knows it is called Kshetragya (the knower of the field) by the sages (those who have acquired spiritual knowledge)."
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.2,"The Blessed Lord said: This body, O Kaunteya is called KSHETRA (the Field) and he who knows it is called KSHETRAJNA (the Knower-of-the-Field) by those who know them (KSHETRA and KSHETRAJNA) i. e. , by the sages ."
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.3,"And you should know Me as the knower of the field in all fields, O Arjuna. The knowledge of both the field and the knower of the field is considered by Me to be real knowledge."
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.4,"What the field is, what it is like, what is its nature, what are its properties and modifications, from what causes, and also, who He (the knower of the field) is, and what His powers are; hear briefly all that from Me."
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.5,RISHIS have sung (about the Field and the Knower-of-the-Field ) in many ways in various distinctive chants and also in the suggestive words indicative of BRAHMAN full of reason and decision.
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.6,"The great elements, egoism, intellect, and also the unmanifested (MOOLA-PRAKRITI) , the ten senses and the one (the mind) and the five objects-of-the-senses, . . ."
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.7,"Desire, hatred, pleasure, pain, the body, intelligence, firmness; these along with their modifications have been called the field (Kshetra)."
Ksetra-Ksetrajna-Vibhaga Yoga,Chapter 13,Verse 13.8,"Humility, modesty, non-injury, forgiveness, uprightness, service of the teacher, purity, steadfastness, self-control."
